cluster_num,census_tracts
16,"37183052506,37183053513,37183053520,37183053521,37063002028,37183052401,37183052404,37183052406,37183052407,37183052503,37183052504,37183052507,37183053512,37183053516,37183053517,37183053522,37183053608,37183053609,37183053610,37183053709,37183053711,37183053712,37183053713,37183053717,37183053718,37183053719,37183053720,37183053721,37183053724,37183053725,37183053726,37183980100,37183980200"
17,"37119002004,37119002600,37119002903,37119003008,37119003016,37119003106,37119003204,37119003700,37119003808,37119005827,37119005831,37119000300,37119000400,37119002002,37119002003,37119002200,37119002701,37119002702,37119002800,37119002904,37119002905,37119002906,37119003006,37119003007,37119003011,37119003012,37119003013,37119003015,37119003017,37119003018,37119003102,37119003103,37119003105,37119003108,37119003109,37119003201,37119003203,37119003300,37119003400,37119003500,37119003600,37119003802,37119003806,37119003807,37119005811,37119005812,37119005815,37119005824,37119005825,37119005826,37119005828,37119005829,37119005832,37119005833,37119005834,37119005916,37119980300"
18,"37129010100,37129010501,37129011606,37129011701,37129011904,37141920101,37141920102,37141990100,37019020101,37141920103,37141920201,37141920202,37141920203,37141920204,37141920401,37141920402,37141920403,37141920501,37141920502,37141920601,37141920602,37129010200,37129010300,37129010400,37129010502,37129011400,37129011500,37129011603,37129011605,37129011607,37129011608,37129011703,37129011705,37129011902,37129011903,37129012001,37129012300,37129980100"
19,"37065020600,37065020700,37065021300,37083930900,37127010200,37127010300,37127011200,37195000200,37195000300,37195000400,37195000501,37195000801,37195000100,37065020200,37065020300,37065020400,37065020800,37065020900,37065021000,37065021100,37065021200,37065021400,37065021500,37065021600,37083931100,37195000502,37195000600,37195000700,37195000802,37195001100,37195001200,37195001300,37195001400,37195001500,37127010400,37127010502,37127010503,37127010504,37127010601,37127010602,37127010700,37127010800,37127010900,37127011000,37127011101,37127011102,37127011300"
20,"37183050700,37183052302,37183052809,37101041002,37183050800,37183050900,37183051000,37183052001,37183052002,37183052101,37183052102,37183052301,37183052409,37183052801,37183052802,37183052803,37183052806,37183052807,37183052808,37183052902,37183052903,37183053007,37183053008,37183053009,37183054106,37183054114,37183054500"
21,"37167930300,37167931201,37025041501,37025041502,37025041503,37025041601,37025041602,37025041701,37025040500,37025041702,37025042102,37025042200,37025042603,37025042604,37167930101,37167930200,37167930500,37167930700,37167930801,37167930802,37167930900,37167931000,37167931100,37167931202,37119005621,37119005715,37119005611,37179020203"
22,"37171930302,37171930901,37197050300,37005950100,37197050102,37197050200,37197050400,37197050501,37193960100,37193960200,37193961200,37169070300,37169070400,37171930101,37171930102,37171930201,37171930202,37171930301,37171930400,37171930501,37171930502,37171930600,37171930700,37171930801,37171930802,37171930902,37171931001,37171931003,37171931101,37171931102,37171931103,37171931200,37171931002"
23,"37045951000,37045951502,37161960200,37161961101,37045950101,37045950102,37045950200,37045950700,37045950800,37045950900,37045951100,37045951200,37045951300,37045951400,37045951501,37045951503,37045951601,37045951602,37161960900,37161961000,37161961102,37161961200,37161960100,37161960400,37161960500,37161960600,37161960700,37161960800,37149920101"
24,"37109071102,37119006211,37119006303,37119006406,37109070902,37109071002,37109071101,37109071201,37109071202,37109071203,37097061401,37097061404,37097061405,37097061406,37097061407,37097061502,37097061503,37097061602,37035011504,37119006203,37119006204,37119006208,37119006209,37119006210,37119006212,37119006213,37119006214,37119006302,37119006304,37119006403,37119006404,37119006405,37119006407"
25,"37191000102,37191000601,37191001200,37079950200,37101040100,37101040500,37107011100,37195000900,37195001000,37195001600,37195001700,37191000101,37191000200,37191000302,37191000303,37191000304,37191000401,37191000402,37191000500,37191000602,37191000901,37191000902,37191001000,37191001101,37191001102,37191001301,37191001302,37191001400,37191001500,37191001800,37191001900,37191002000"
